date;Number_of_deaths;Number_of_deaths_rep_lag
11/3/20;1;0
12/3/20;0;0
13/3/20;1;1
14/3/20;1;0
15/3/20;2;1
16/3/20;2;1
17/3/20;1;2
18/3/20;6;2
19/3/20;7;1
20/3/20;9;6
21/3/20;8;7
22/3/20;11;9
23/3/20;11;8
24/3/20;21;11
25/3/20;22;11
26/3/20;31;21
27/3/20;32;22
28/3/20;35;31
29/3/20;38;32
30/3/20;45;35
31/3/20;48;38
1/4/20;53;45
2/4/20;70;48
3/4/20;80;53
4/4/20;70;70
5/4/20;85;80
6/4/20;90;70
7/4/20;84;85
8/4/20;115;90
9/4/20;86;84
10/4/20;90;115
11/4/20;102;86
12/4/20;97;90
13/4/20;84;102
14/4/20;91;97
15/4/20;115;84
16/4/20;111;91
17/4/20;83;115
18/4/20;86;111
19/4/20;87;83
20/4/20;85;86
21/4/20;62;87
22/4/20;77;85
23/4/20;86;62
24/4/20;89;77
25/4/20;73;86
26/4/20;74;89
27/4/20;74;73
28/4/20;83;74
29/4/20;83;74
30/4/20;78;83
1/5/20;78;83
2/5/20;72;78
3/5/20;75;78
4/5/20;83;72
5/5/20;72;75
6/5/20;73;83
7/5/20;80;72
8/5/20;60;73
9/5/20;68;80
10/5/20;73;60
11/5/20;65;68
12/5/20;61;73
13/5/20;50;65
14/5/20;46;61
15/5/20;58;50
16/5/20;48;46
17/5/20;52;58
18/5/20;59;48
19/5/20;41;52
20/5/20;52;59
21/5/20;53;41
22/5/20;56;52
23/5/20;55;53
24/5/20;44;56
25/5/20;42;55
26/5/20;28;44
27/5/20;38;42
28/5/20;40;28
29/5/20;40;38
30/5/20;38;40
31/5/20;46;40
1/6/20;39;38
2/6/20;36;46
3/6/20;28;39
4/6/20;44;36
5/6/20;37;28
6/6/20;29;44
7/6/20;33;37
8/6/20;38;29
9/6/20;33;33
10/6/20;39;38
11/6/20;35;33
12/6/20;29;39
13/6/20;33;35
14/6/20;27;29
15/6/20;30;33
16/6/20;28;27
17/6/20;32;30
18/6/20;29;28
19/6/20;30;32
20/6/20;29;29
21/6/20;22;30
22/6/20;20;29
23/6/20;25;22
24/6/20;22;20
25/6/20;23;25
26/6/20;11;22
27/6/20;14;23
28/6/20;23;11
29/6/20;16;14
30/6/20;20;23
1/7/20;15;16
2/7/20;15;20
3/7/20;8;15
4/7/20;15;15
5/7/20;9;8
6/7/20;15;15
7/7/20;12;9
8/7/20;10;15
9/7/20;15;12
10/7/20;14;10
11/7/20;10;15
12/7/20;8;14
13/7/20;12;10
14/7/20;8;8
15/7/20;6;12
16/7/20;6;8
17/7/20;7;6
18/7/20;11;6
19/7/20;7;7
20/7/20;6;11
21/7/20;7;7
22/7/20;6;6
23/7/20;5;7
24/7/20;3;6
25/7/20;1;5
26/7/20;2;3
27/7/20;6;1
28/7/20;4;2
29/7/20;1;6
30/7/20;0;4
31/7/20;2;1
1/8/20;2;0
2/8/20;3;2
3/8/20;4;2
4/8/20;2;3
5/8/20;1;4
6/8/20;4;2
7/8/20;2;1
8/8/20;1;4
9/8/20;4;2
10/8/20;2;1
11/8/20;4;4
12/8/20;3;2
13/8/20;5;4
14/8/20;1;3
15/8/20;1;5
16/8/20;0;1
17/8/20;3;1
18/8/20;4;0
19/8/20;1;3
20/8/20;2;4
21/8/20;5;1
22/8/20;1;2
23/8/20;3;5
24/8/20;1;1
25/8/20;1;3
26/8/20;2;1
27/8/20;1;1
28/8/20;1;2
29/8/20;1;1
30/8/20;3;1
31/8/20;2;1
1/9/20;3;3
2/9/20;2;2
3/9/20;2;3
4/9/20;0;2
5/9/20;0;2
6/9/20;3;0
7/9/20;1;0
8/9/20;1;3
9/9/20;2;1
10/9/20;2;1
11/9/20;4;2
12/9/20;1;2
13/9/20;2;4
14/9/20;2;1
15/9/20;1;2
