date;daily_vaccinations;OWD;;;
27/12/20;2471;2471;;;
28/12/20;2008;NA;;;
29/12/20;2008;NA;;;
30/12/20;2008;NA;;;
31/12/20;2008;NA;;;
1/1/21;2008;NA;;;
2/1/21;2009;NA;;;
3/1/21;2009;16529;14058;2008,285714;14058
4/1/21;5205;NA;;;
5/1/21;5205;NA;;;
6/1/21;5205;NA;;;
7/1/21;5205;NA;;;
8/1/21;5205;NA;;;
9/1/21;5206;NA;;;
10/1/21;5206;52966;36437;5205,285714;36437
11/1/21;11326;NA;;;
12/1/21;11326;NA;;;
13/1/21;11326;NA;;;
14/1/21;11326;NA;;;
15/1/21;11327;NA;;;
16/1/21;11327;NA;;;
17/1/21;11327;132251;79285;11326,42857;79285
18/1/21;15033;NA;;;
19/1/21;15033;NA;;;
20/1/21;15034;NA;;;
21/1/21;15034;NA;;;
22/1/21;15034;NA;;;
23/1/21;15034;NA;;;
24/1/21;15034;237487;105236;15033,71429;105236
25/1/21;9246;NA;;;
26/1/21;9246;NA;;;
27/1/21;9246;NA;;;
28/1/21;9246;NA;;;
29/1/21;9247;NA;;;
30/1/21;9247;NA;;;
31/1/21;9247;302212;64725;9246,428571;64725
1/2/21;6192;NA;;;
2/2/21;6192;NA;;;
3/2/21;6192;NA;;;
4/2/21;6192;NA;;;
5/2/21;6192;NA;;;
6/2/21;6192;NA;;;
7/2/21;6193;345557;43345;6192,142857;43345
8/2/21;6638;NA;;;
9/2/21;6638;NA;;;
10/2/21;6639;NA;;;
11/2/21;6639;NA;;;
12/2/21;6639;NA;;;
13/2/21;6639;NA;;;
14/2/21;6639;392028;46471;6638,714286;46471
15/2/21;10033;NA;;;
16/2/21;10033;NA;;;
17/2/21;10033;NA;;;
18/2/21;10033;NA;;;
19/2/21;10033;NA;;;
20/2/21;10034;NA;;;
21/2/21;10034;462261;70233;10033,28571;70233
22/2/21;14541;NA;;;
23/2/21;14542;NA;;;
24/2/21;14542;NA;;;
25/2/21;14542;NA;;;
26/2/21;14542;NA;;;
27/2/21;14542;NA;;;
28/2/21;14542;564054;101793;14541,85714;101793
1/3/21;21729;NA;;;
2/3/21;21729;NA;;;
3/3/21;21729;NA;;;
4/3/21;21729;NA;;;
5/3/21;21729;NA;;;
6/3/21;21729;NA;;;
7/3/21;21729;716157;152103;21729;152103
8/3/21;26015;NA;;;
9/3/21;26015;NA;;;
10/3/21;26015;NA;;;
11/3/21;26015;NA;;;
