areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,2022-02-09,10523,52468730
overview,United Kingdom,K02000001,2022-02-08,10804,52458207
overview,United Kingdom,K02000001,2022-02-07,10106,52447403
overview,United Kingdom,K02000001,2022-02-06,8321,52437297
overview,United Kingdom,K02000001,2022-02-05,14794,52428976
overview,United Kingdom,K02000001,2022-02-04,15151,52414182
overview,United Kingdom,K02000001,2022-02-03,13343,52399031
overview,United Kingdom,K02000001,2022-02-02,12466,52385688
overview,United Kingdom,K02000001,2022-02-01,12735,52373222
overview,United Kingdom,K02000001,2022-01-31,15329,52360487
overview,United Kingdom,K02000001,2022-01-30,11684,52345158
overview,United Kingdom,K02000001,2022-01-29,18946,52333474
overview,United Kingdom,K02000001,2022-01-28,16949,52314528
overview,United Kingdom,K02000001,2022-01-27,15706,52297579
overview,United Kingdom,K02000001,2022-01-26,15358,52281873
overview,United Kingdom,K02000001,2022-01-25,13936,52266515
overview,United Kingdom,K02000001,2022-01-24,16005,52252579
overview,United Kingdom,K02000001,2022-01-23,12266,52236574
overview,United Kingdom,K02000001,2022-01-22,20378,52224308
overview,United Kingdom,K02000001,2022-01-21,17532,52203930
overview,United Kingdom,K02000001,2022-01-20,17806,52186398
overview,United Kingdom,K02000001,2022-01-19,16949,52168592
overview,United Kingdom,K02000001,2022-01-18,18032,52151643
overview,United Kingdom,K02000001,2022-01-17,15748,52133611
overview,United Kingdom,K02000001,2022-01-16,17700,52117863
overview,United Kingdom,K02000001,2022-01-15,27409,52100163
overview,United Kingdom,K02000001,2022-01-14,20878,52072754
overview,United Kingdom,K02000001,2022-01-13,20521,52051876
overview,United Kingdom,K02000001,2022-01-12,19520,52031355
overview,United Kingdom,K02000001,2022-01-11,19276,52011835
overview,United Kingdom,K02000001,2022-01-10,17954,51992559
overview,United Kingdom,K02000001,2022-01-09,22205,51974605
overview,United Kingdom,K02000001,2022-01-08,31689,51952400
overview,United Kingdom,K02000001,2022-01-07,23422,51920711
overview,United Kingdom,K02000001,2022-01-06,22741,51897289
overview,United Kingdom,K02000001,2022-01-05,29030,51874548
overview,United Kingdom,K02000001,2022-01-04,24866,51845518
overview,United Kingdom,K02000001,2022-01-03,19158,51820652
overview,United Kingdom,K02000001,2022-01-02,12449,51801494
overview,United Kingdom,K02000001,2022-01-01,2277,51789045
overview,United Kingdom,K02000001,2021-12-31,15384,51786768
overview,United Kingdom,K02000001,2021-12-30,33371,51771384
overview,United Kingdom,K02000001,2021-12-29,32607,51738013
overview,United Kingdom,K02000001,2021-12-28,23859,51705406
